Country Name,Region,Year,GDP_perCapita,population,urbanPopulation,PopulationAge15-64,PopulationAge65+,dieselFuelPrice,dieselFuelPrice_year-2,gasolinePrice,gasolinePrice_year-2,goodsImports,goodsExports,serviceImports,serviceExports,personalTransfers,schoolEnrollPrimary,airTransportDeparture,internationalTourism,mobileSubscriptionPer100People,broadbandSubscriptionPer100People,electricPowerConsumption,chargesOfIntellectualProperty,landArea
Guatemala,North America,2016,4140.589826,16583060.0,8344430.0,9908023.0,761536.0,0.65,0.9,0.79,1.01,15767000000.0,10581100000.0,3026100000.0,2784000000.0,7377300000.0,100.8123,3102.0,1585000.0,110.1395181,3.05130363,750.0112736,169600000.0,107160.0
Honduras,North America,2016,2342.584651,9270795.0,5174309.0,5799721.0,411671.0,0.8,1.03,0.98,1.2,8166376152.0,3940383961.0,1740812282.0,2904600820.0,3847339159.0,92.58469,24315.0,838000.0,84.48900013,2.377207133,770.4282347,66573650.27,111890.0
Hungary,Eastern Europe,2016,12992.37567,9814023.0,6946267.0,6636893.0,1766754.0,1.2,1.65,1.18,1.58,82557713333.0,86948512417.0,17425345131.0,24215314775.0,370946279.5,101.8788,137605.0,15255000.0,102.0406696,28.88535037,4261.47201,1446684698.0,90530.0
Iceland,Northern Europe,2016,61757.94931,335439.0,314424.0,220677.0,47188.0,1.63,1.86,1.69,1.85,5315618576.0,4482462409.0,3237317078.0,5386554984.0,17856790.83,99.53414,41022.0,1792000.0,120.8927593,38.53723292,74715.94595,105225068.8,100250.0
India,South Asia,2016,1729.268021,1324509589.0,439498772.0,877808961.0,76732882.0,0.81,0.91,0.97,1.1,376090000000.0,268615000000.0,95922439917.0,161819000000.0,59083771822.0,114.5383,917625.0,14570000.0,85.14868348,1.408310236,1045.931087,5466041710.0,2973190.0
Indonesia,Southeast Asia,2016,3562.845756,261554226.0,141210511.0,175876856.0,14449134.0,0.61,0.62,0.63,0.93,129152000000.0,144470000000.0,30407205820.0,23323541061.0,8687362230.0,105.6099,823735.0,11519000.0,147.4150225,1.998572155,1100.615664,1732362913.0,1811570.0
Italy,Western Europe,2016,30936.12544,60627498.0,42351339.0,38898890.0,13480439.0,1.44,2.01,1.61,2.14,384999000000.0,450758000000.0,105174000000.0,100844000000.0,2368067166.0,99.42546,277671.0,52372000.0,141.6939815,25.65528181,5536.655503,4680064924.0,294140.0
Jordan,Middle East,2016,4103.7336,9551467.0,8644651.0,5803146.0,361187.0,0.64,0.82,1.1,1.27,17136478873.0,7548732394.0,4577605634.0,6035492958.0,4004366197.0,78.56042,38161.0,3567000.0,102.7648325,3.14621103,2363.380002,24084507.04,88780.0
Kazakhstan,Western Asia,2016,7714.841844,17794055.0,10189588.0,11703873.0,1231068.0,0.4,0.64,0.42,0.81,26232437820.0,35485816557.0,9846945356.0,6084529823.0,380285377.8,109.8852,73188.0,6509000.0,143.2053265,13.17880684,5669.184154,126873670.0,2699700.0
Kenya,Africa,2016,1410.527571,49051686.0,12804943.0,27921053.0,1067536.0,0.82,1.07,0.95,1.21,13413052430.0,5747319971.0,2732435868.0,4154814833.0,1744639180.0,103.2053,99428.0,1268000.0,79.47190398,0.311900541,185.4296044,144483927.9,569140.0
"Korea, Rep.",East Asia,2016,27608.24743,51245707.0,41797024.0,37493474.0,6835121.0,1.05,1.37,1.22,1.55,395464000000.0,511926000000.0,112148000000.0,94809100000.0,5699800000.0,97.71842,473606.0,17242000.0,120.2263275,40.31833895,14529.39352,9429400000.0,97489.00391
Kyrgyz Republic,Western Asia,2016,1120.666513,6079500.0,2185215.0,3874021.0,264977.0,0.49,0.76,0.56,0.94,3708883851.0,1572558203.0,1044531795.0,841030690.0,1994607958.0,104.6015,23120.0,321000.0,125.3393872,3.965424993,1749.859803,7538903.0,191800.0
Latvia,Northern Europe,2016,14153.41492,1959537.0,1332897.0,1275492.0,385634.0,1.07,1.49,1.16,1.48,13750274863.0,11662773776.0,2730783067.0,5091324581.0,545693973.0,99.19855,42392.0,1793000.0,134.240928,26.29605129,3839.856615,36455711.91,62180.0
Lithuania,Northern Europe,2016,14999.47964,2868231.0,1932212.0,1904208.0,544058.0,1.05,1.5,1.16,1.57,26212569164.0,24247689177.0,5093028787.0,7576747610.0,1208075118.0,102.8918,9719.0,2296000.0,145.513378,29.68486173,3844.721282,66926847.32,62642.00195
Luxembourg,Western Europe,2016,104278.391,582014.0,526490.0,405770.0,81728.0,1.03,1.39,1.19,1.52,22042832172.0,19757472983.0,74530921646.0,99533671323.0,37268957.6,100.7898,48255.0,1054000.0,131.8915037,35.06173351,14163.57247,4177784870.0,2430.0
Malta,Western Europe,2016,25151.51962,455356.0,430220.0,302415.0,88244.0,1.22,1.7,1.36,1.8,5036561534.0,2854300804.0,10774292148.0,14536183466.0,221177391.2,103.9727,12305.0,1966000.0,134.252242,39.27176752,5899.230114,675741853.1,320.0
Mauritius,Africa,2016,9681.618567,1263473.0,516887.0,892710.0,131944.0,0.85,1.38,1.12,1.65,4407446280.0,2376428002.0,2052058297.0,2824931540.0,192772370.9,102.4534,13614.0,1275000.0,143.755473,16.84807804,2884.682945,17580177.28,2030.0
Mexico,North America,2016,8739.756043,123333376.0,98145001.0,81180234.0,8477098.0,0.72,1.02,0.73,1.03,387375000000.0,374305000000.0,33179025051.0,24213162696.0,26993281568.0,106.2777,555984.0,35079000.0,90.59237542,13.03147414,2653.520541,276717753.0,1943950.0
Moldova,Eastern Europe,2016,2272.405707,3551954.0,1509971.0,2621290.0,369971.0,0.69,1.16,0.8,1.21,3636470000.0,1557780000.0,839980000.0,1066690000.0,749630000.0,91.75292,9625.0,121000.0,93.17465849,13.70884816,630.3033395,19100000.0,32890.0
Mongolia,East Asia,2016,3660.150746,3056359.0,2087402.0,2036934.0,119834.0,0.67,0.96,0.72,1.01,3466192984.0,4803976536.0,2139163992.0,800883305.2,201718475.0,102.9698,6009.0,404000.0,110.1823278,7.399216847,2168.565777,24610007.25,1553560.0
Morocco,Africa,2016,2896.720003,35126296.0,21553495.0,23119723.0,2296575.0,0.86,1.11,0.99,1.38,36684161943.0,19054117273.0,8449440405.0,15340235467.0,6383473884.0,110.3958,80085.0,10332000.0,118.1848162,3.574041694,1180.439255,104258156.7,446300.0
Mozambique,Africa,2016,428.926488,27829942.0,9719886.0,14439475.0,807477.0,0.6,1.2,0.65,1.55,4732896768.0,3328235536.0,3141590307.0,440450451.2,40492677.44,108.6466,15911.0,1639000.0,53.99077066,0.167441983,703.5751132,19003105.27,786380.0
Myanmar,Southeast Asia,2016,1192.495338,53045226.0,15957065.0,35708552.0,2839502.0,0.51,0.93,0.54,1.14,12812432219.0,9234804284.0,2514590054.0,3795476502.0,1750607668.0,108.9044,65643.0,2907000.0,95.3647362,0.169074673,273.0897818,230635285.5,653080.0
Netherlands,Western Europe,2016,46007.85292,17030314.0,15435425.0,11078547.0,3128751.0,1.34,1.8,1.68,2.15,392969000000.0,465613000000.0,150360000000.0,157672000000.0,171591575.7,103.2868,334240.0,15828000.0,123.0177086,42.29948305,7496.352554,37628021899.0,33690.0
Nigeria,Africa,2016,2175.99967,185960289.0,90531047.0,98834084.0,5106478.0,0.64,0.84,0.46,0.56,35239953320.0,34703895443.0,11758306299.0,3743644913.0,19506649180.0,84.72564,53971.0,5265000.0,82.99740158,0.058039826,186.2472024,252840000.0,910770.0
Panama,North America,2016,14356.32405,4037078.0,2705932.0,2610791.0,311982.0,0.61,0.85,0.74,0.96,20693756500.0,12932849900.0,4907040400.0,12273620700.0,426086200.0,93.12198,143126.0,1921000.0,127.3636031,10.64955891,2638.053559,47000000.0,74340.0
Peru,South America,2016,6204.99726,30926032.0,23979736.0,20207760.0,2337308.0,0.88,1.17,0.99,1.46,34908473498.0,37081738042.0,8358867311.0,6136958376.0,2883886545.0,103.0603,129880.0,3744000.0,119.4241828,6.857530252,1747.711729,379133896.1,1280000.0
Philippines,Southeast Asia,2016,2941.21204,103663927.0,48177810.0,65635238.0,4937469.0,0.58,0.82,0.86,1.05,78283237169.0,42734423311.0,24160460096.0,31203605094.0,23624329047.0,110.1739,345482.0,5967000.0,115.8522806,2.879936428,847.7657148,546410232.4,298170.0
