Country Name,Region,Year,GDP_perCapita,population,urbanPopulation,PopulationAge15-64,PopulationAge65+,dieselFuelPrice,dieselFuelPrice_year-2,gasolinePrice,gasolinePrice_year-2,goodsImports,goodsExports,serviceImports,serviceExports,personalTransfers,schoolEnrollPrimary,airTransportDeparture,internationalTourism,mobileSubscriptionPer100People,broadbandSubscriptionPer100People,electricPowerConsumption,chargesOfIntellectualProperty,landArea
Benin,Africa,2012,837.8949968,9729248.0,4293031.0,5172095.0,314860.0,1.26,1.21,1.24,1.04,2002092598.0,1442622239.0,585154008.5,433937560.7,189180149.7,127.2151,1381.0,220000.0,86.41824256,0.429231485,93.1212772,2321130.292,112760.0
Bolivia,South America,2012,2609.880819,10377676.0,6985733.0,6222543.0,660866.0,0.54,0.54,0.7,0.7,7997488635.0,11132827855.0,1921422622.0,1125167106.0,1094341361.0,98.31224,41974.6792,798000.0,91.47719586,1.124606318,654.4817934,42441212.07,1083300.0
Botswana,Africa,2012,7877.79035,2039551.0,1320976.0,1256435.0,71811.0,1.25,0.97,1.23,0.93,8740998306.0,6487200400.0,1166805066.0,762291390.9,2525151.115,105.0808,8422.23448,1614000.0,151.097886,1.090237287,1756.268904,13283368.75,566730.0
Brazil,South America,2012,12370.0242,199287296.0,169240750.0,137364153.0,14453960.0,1.02,1.14,1.39,1.58,224864000000.0,242283000000.0,78984426906.0,38816271715.0,2191048550.0,134.5204,1002565.0,5677000.0,124.6058852,9.594011307,2501.474053,4198155186.0,8358140.0
Cameroon,Africa,2012,1354.623087,21485266.0,11337560.0,11519532.0,602703.0,1.01,1.1,1.1,1.2,6031217116.0,5757114154.0,2128641014.0,1628197488.0,133867516.9,111.6662,4938.0,817000.0,61.00952443,0.064444167,247.4253751,7361019.103,472710.0
Colombia,South America,2012,8042.529769,46076848.0,36262940.0,30848434.0,3215075.0,1.18,0.95,1.28,1.41,56648290244.0,61603864423.0,12590095361.0,6447932513.0,3969659207.0,114.9601,254059.929,2179000.0,106.4907095,8.548227073,1170.045312,526909688.7,1109500.0
Cote d'Ivoire,Africa,2012,1243.344597,21547188.0,10379711.0,11619224.0,613814.0,1.2,1.3,1.51,1.68,9056744044.0,12123453268.0,2930865358.0,984764894.8,187189255.0,82.73464,415.0,289000.0,83.99950843,0.214259977,234.7870172,17201730.1,318000.0
Ecuador,South America,2012,5682.045007,15474102.0,9746827.0,9838179.0,959693.0,0.29,0.28,0.58,0.53,24512948909.0,24562898323.0,3204352072.0,1810012633.0,2466892840.0,112.2776,54250.92262,1272000.0,106.350217,5.452361982,1277.036949,90468876.14,248360.0
"Egypt, Arab Rep.",Africa,2012,3232.648892,86422240.0,37114895.0,53904414.0,4251710.0,0.18,0.19,0.45,0.48,52350400000.0,26834500000.0,16450400000.0,21766800000.0,19236400000.0,104.7797,92303.0,11196000.0,112.006814,2.648361024,1685.468926,344700000.0,995450.0
Ethiopia,Africa,2012,467.0779272,92726971.0,16839218.0,48932866.0,3123787.0,0.94,0.78,1.05,0.91,10547290512.0,3257974059.0,3582647188.0,2736954646.0,624360669.9,94.26506,62136.0,597000.0,22.13367446,0.00920444,57.21097047,2458491.293,1000000.0
Georgia,Western Asia,2012,4421.818242,3728874.0,2099468.0,2519263.0,528871.0,1.37,1.13,1.34,1.13,7685207566.0,3459098760.0,1453843800.0,2561977911.0,1120091297.0,106.3055,3326.0,2460000.0,115.6116991,11.39369888,2329.92587,7590401.93,69490.0
India,South Asia,2012,1443.879529,1265782790.0,400417728.0,820297112.0,66652178.0,0.86,0.82,1.25,1.15,499989000000.0,298321000000.0,79919618509.0,145525000000.0,65961872968.0,109.7613,678125.9378,6578000.0,68.31524817,1.183631838,723.2354613,3990055617.0,2973190.0
Kazakhstan,Western Asia,2012,12386.7,16792089.0,9566957.0,11475049.0,1143317.0,0.67,0.51,1.01,0.71,46657682105.0,86494429154.0,14344549795.0,5430908296.0,279104848.9,110.3985,44580.0,6163000.0,180.4934178,9.774035498,5180.653819,152394296.0,2699700.0
Kenya,Africa,2012,1136.871406,44343410.0,10809150.0,24467967.0,877261.0,1.26,1.27,1.37,1.33,15526910605.0,6212262084.0,2388633991.0,4993158861.0,1211021439.0,109.4177,82576.0,1619000.0,69.30390445,0.122561459,150.4394903,31781529.12,569140.0
Morocco,Africa,2012,2912.658275,33241898.0,19659923.0,21860227.0,2055472.0,0.96,0.88,1.42,1.23,38876982594.0,16991999569.0,8136421399.0,15346623448.0,6507905288.0,110.7162,61161.3007,9375000.0,117.3709565,2.07431284,876.8452391,56844992.81,446300.0
Mozambique,Africa,2012,657.6453378,24862648.0,8166385.0,12749983.0,742857.0,1.23,0.86,1.58,1.11,7903056608.0,3855538399.0,4497793945.0,792110047.4,102417642.7,106.9018,13263.25147,2113000.0,35.41449138,0.118402437,459.967096,8054486.93,786380.0
Nigeria,Africa,2012,2746.991789,167228767.0,75664328.0,88719082.0,4615743.0,1.09,0.77,0.62,0.44,56933435483.0,96123869396.0,23941093342.0,2400273740.0,20362467521.0,92.09114,65631.50707,4673000.0,67.43921445,0.008538601,156.7971855,250802141.1,910770.0
Pakistan,South Asia,2012,1198.109001,187281475.0,66312625.0,110061539.0,8023699.0,1.2,0.92,1.14,0.86,40385000000.0,24792000000.0,8517000000.0,6582000000.0,13978000000.0,80.37719,72232.0,966000.0,64.15589184,0.809914543,427.8479759,161000000.0,770880.0
Paraguay,South America,2012,5183.082877,6421512.0,3846935.0,4021453.0,349974.0,1.31,1.01,1.74,1.28,11013970000.0,11514777229.0,927345731.9,827097392.5,634100000.0,104.3732,6594.0,579000.0,105.7959861,2.120247985,1359.025725,2500000.0,397300.0
Peru,South America,2012,6528.972218,29506788.0,22662393.0,18933054.0,1946993.0,1.41,1.1,1.63,1.41,40279232747.0,47410606681.0,7563408013.0,4194024812.0,2787954663.0,102.4093,106167.0,2846000.0,99.5976824,4.889668099,1238.087995,363763315.0,1280000.0
Senegal,Africa,2012,1330.057448,13401991.0,5977690.0,7147093.0,417749.0,1.53,1.34,1.72,1.57,5623427235.0,2746142215.0,1328755853.0,1221198534.0,1469944391.0,86.80446,7730.0,962000.0,85.58911242,0.713035793,215.4903701,4896899.35,192530.0
Suriname,South America,2012,9201.008785,541245.0,358347.0,351306.0,34344.0,1.52,1.12,1.57,1.14,1971541459.0,2700318313.0,618199108.0,171510603.3,7334766.75,112.7073,2417.513298,240000.0,105.1407403,5.407532633,3314.580273,5796374.94,156000.0
Tanzania,Africa,2012,867.8676806,47052481.0,13877188.0,24753607.0,1182885.0,1.27,1.19,1.31,1.22,10319134708.0,5889215553.0,2358883738.0,2786413951.0,368700425.1,94.17554,28130.47207,1043000.0,57.8480982,0.087826438,97.80568213,851853.3333,885800.0
