Country Name,Region,Year,GDP_perCapita,population,urbanPopulation,PopulationAge15-64,PopulationAge65+,dieselFuelPrice,dieselFuelPrice_year-2,gasolinePrice,gasolinePrice_year-2,goodsImports,goodsExports,serviceImports,serviceExports,personalTransfers,schoolEnrollPrimary,airTransportDeparture,internationalTourism,mobileSubscriptionPer100People,broadbandSubscriptionPer100People,electricPowerConsumption,chargesOfIntellectualProperty,landArea
Dominican Republic,North America,2014,6608.832257,10165178.0,7895294.0,6556638.0,646049.0,1.21,1.35,1.41,1.58,17273100000.0,9898900000.0,2969800000.0,7053700000.0,4571200000.0,107.5582,1584.0,5141400.0,81.6860454,5.902461372,1615.515242,81400000.0,48310.0
El Salvador,North America,2014,3588.965943,6295128.0,4335706.0,3997003.0,478960.0,1.02,1.17,1.12,1.26,9581001124.0,4294427682.0,1457773698.0,2325778303.0,4139170393.0,106.2758,31662.0,1345000.0,146.0390003,5.066060611,937.0738768,68550429.24,20720.0
Estonia,Northern Europe,2014,20367.10266,1314545.0,897427.0,861689.0,243773.0,1.51,1.76,1.46,1.76,15964341383.0,14643222704.0,4902734886.0,7149607841.0,128122122.6,98.00723,13524.0,3160000.0,144.1604617,28.18624043,6732.367473,61551392.44,43470.0
France,Western Europe,2014,43008.64738,66316100.0,52651004.0,41871249.0,12225941.0,1.63,1.78,1.79,1.91,637038000000.0,580549000000.0,252694000000.0,272956000000.0,627296036.4,101.2803,610197.0,83701000.0,101.9183391,40.45422009,6939.521474,12764952188.0,547556.9922
Germany,Western Europe,2014,47959.99327,80982500.0,62510392.0,53192333.0,17058285.0,1.58,1.88,1.8,1.96,1178820000000.0,1470310000000.0,337429000000.0,302933000000.0,26806162.9,100.5386,946082.0,32999000.0,122.1971002,36.30777257,7035.482975,10729008199.0,348900.0
Greece,Eastern Europe,2014,21760.9798,10892413.0,8463623.0,7063412.0,2230469.0,1.63,2.08,1.98,2.06,65127203235.0,35577819517.0,16970660131.0,41273732823.0,456164444.4,97.87486,134160.0,22033000.0,113.4854734,29.49197754,5062.606422,445973221.3,128900.0
Guatemala,North America,2014,3687.836951,15923243.0,7903342.0,9346414.0,706239.0,0.9,1.04,1.01,1.14,17055879300.0,10991767958.0,3033174834.0,2830128800.0,5718374186.0,102.5807,2214.0,1371000.0,106.20838,2.723906121,577.8973542,175215100.0,107160.0
Honduras,North America,2014,2206.051934,8955589.0,4882050.0,5488907.0,379191.0,1.03,1.15,1.2,1.25,8514572990.0,4087751951.0,1653748027.0,2676419050.0,3353214367.0,91.94349,24216.0,868000.0,86.26001037,1.762608802,619.8363949,75110955.92,111890.0
Hungary,Eastern Europe,2014,14246.1098,9866468.0,6928924.0,6750521.0,1687922.0,1.65,1.91,1.58,1.84,95218547627.0,98055213654.0,18811408273.0,24913832609.0,387327165.8,101.8569,123708.0,12140000.0,119.5971623,26.31860651,3965.958233,1701540946.0,90530.0
Iceland,Northern Europe,2014,54242.05468,327386.0,306653.0,216931.0,43596.0,1.86,2.06,1.85,1.99,4960922402.0,4861247382.0,3116653605.0,4286271235.0,9094224.931,98.18361,28979.0,997000.0,112.6152638,36.41180302,53832.47909,119197270.8,100250.0
Italy,Western Europe,2014,35518.41529,60789140.0,42109853.0,39223884.0,13151936.0,2.01,2.18,2.14,2.28,454729000000.0,517276000000.0,115376000000.0,113949000000.0,2841044071.0,101.1514,264899.0,48576000.0,148.8415405,23.80827259,5002.40668,5179740482.0,294140.0
Latvia,Northern Europe,2014,15740.32675,1993782.0,1354815.0,1314303.0,384303.0,1.49,1.77,1.48,1.8,17045344640.0,13765109426.0,2803213268.0,5442543988.0,607373461.4,99.8206,42107.0,1843000.0,117.9486241,24.98492247,3507.404521,45149422.11,62180.0
Lithuania,Northern Europe,2014,16534.48198,2932367.0,1967853.0,1966235.0,539592.0,1.5,1.7,1.57,1.83,28670334632.0,27274887610.0,5543416881.0,7813386019.0,1956872177.0,101.5756,12622.0,2063000.0,143.6175773,26.9851526,3821.14517,47451213.57,62650.0
Luxembourg,Western Europe,2014,118823.6484,556319.0,500042.0,386096.0,77667.0,1.39,1.64,1.52,1.64,27248067481.0,27501208255.0,81712833057.0,104079000000.0,35075781.55,97.52305,47215.0,1038000.0,144.7027678,33.68703518,13914.67845,4960079481.0,2430.0
Malta,Western Europe,2014,26012.01531,434558.0,409992.0,293398.0,79042.0,1.7,1.75,1.8,1.92,4964363813.0,3356040590.0,10399786145.0,13357440093.0,218698697.7,102.8235,14022.0,1690000.0,126.9718292,35.22967385,4924.544019,555242521.9,320.0
Mexico,North America,2014,10922.37605,120355128.0,95072126.0,78734894.0,7913101.0,1.02,0.85,1.03,0.86,400447000000.0,397651000000.0,34474474398.0,21182302176.0,23647283890.0,108.0058,457921.907,29346000.0,87.19889276,10.82838697,2157.323949,239769766.0,1943950.0
Moldova,Eastern Europe,2014,2674.116332,3556397.0,1511326.0,2638997.0,354309.0,1.16,1.4,1.21,1.42,4857200000.0,1816490000.0,1015070000.0,1142220000.0,1012080000.0,93.06422,8400.0,93900.0,91.7690032,12.50046951,1386.234439,25080000.0,32870.0
