Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Thailand,THA,170450253.5,709870581.5,3080540000,3121260000,3609708798,4593395979,3970840948,4121492145,3979483476,4280771967,5274352965,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Timor-Leste,TLS,..,..,..,..,725648.0667,3118,75880.69,32822,..,..,..,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Togo,TGO,..,584289.1329,1645543.735,..,..,..,384292.5844,114971.7755,182122.2799,2300313.582,..,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Tonga,TON,12279.07541,..,..,..,..,..,143145.0442,5474201.849,4882564.784,..,182.601965,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Trinidad and Tobago,TTO,6541176.471,..,..,60143858.87,54084973.45,60809869.37,70160562.62,75381069.46,53970155.79,54139016.52,63879607.14,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Tunisia,TUN,1138519.924,2918252.453,15159983.23,12075721.88,12804985.41,13664411.49,19438349.51,20952016.82,17504383.85,16574186.02,17719064.05,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Turkey,TUR,..,173000000,816000000,680000000,741000000,785000000,677000000,682000000,764000000,767000000,726000000,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Uganda,UGA,..,..,2810259.476,8275720.301,11312971.32,14777163.05,12183518.67,13761795.87,19741922.79,17640465.49,11046800,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Ukraine,UKR,..,663000000,744000000,746000000,727000000,1072000000,552000000,358000000,358000000,430000000,592000000,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,United Kingdom,GBR,3574748480,5925200262,10168424907,11025788275,9733764123,10702369086,12175623774,12924492291,11821309424,12289529454,13545558587,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,United States,USA,3140000000,16607000000,32551000000,36088000000,38660000000,38860000000,41983000000,40609000000,46987000000,53440000000,56117000000,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Uruguay,URY,..,6476000,26557142.4,33571028.5,86928457.55,113422145.1,137128958.4,101265460.2,109286977.9,111459821.6,124196597.4,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Uzbekistan,UZB,..,..,..,..,..,..,..,..,6417372.7,31372222.9,49890245.24,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Vanuatu,VUT,..,..,165698.4221,248618.89,215528.4081,149555.4754,206067.2194,174160.1629,184394.4727,324628.8666,542811.8514,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,"Venezuela, RB",VEN,..,184000000,340000000,364000000,397000000,394000000,400000000,382000000,258000000,..,..,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Vietnam,VNM,..,..,..,..,..,..,..,..,..,..,..,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,West Bank and Gaza,PSE,..,66999.85286,292307.7583,576598.4798,816166.279,746622.2675,929204.2173,1317075.932,1088613.19,1246266.71,1435379.327,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,"Yemen, Rep.",YEM,..,..,4800000,4800000,4800000,4800000,4800000,4800000,204945510,..,..,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Zambia,ZMB,..,400000,548844,3733435,3770201,1770000,1885050,2007578.25,2138070.836,2287735.795,35002237.7,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Zimbabwe,ZWE,8144433.633,..,3783946.613,8847845.099,9305786.893,17830152.8,18668169.98,19545573.97,10372933.18,4322232.37,..,..
