Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Land area (sq. km),AG.LND.TOTL.K2,Dominican Republic,DOM,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,..
Land area (sq. km),AG.LND.TOTL.K2,Ecuador,ECU,276840,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,..
Land area (sq. km),AG.LND.TOTL.K2,"Egypt, Arab Rep.",EGY,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,..
Land area (sq. km),AG.LND.TOTL.K2,El Salvador,SLV,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,..
Land area (sq. km),AG.LND.TOTL.K2,Equatorial Guinea,GNQ,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,..
Land area (sq. km),AG.LND.TOTL.K2,Eritrea,ERI,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,..
Land area (sq. km),AG.LND.TOTL.K2,Estonia,EST,42390,42390,42390,42390,42390,43470,43470,43470,43470,43470,43470,..
Land area (sq. km),AG.LND.TOTL.K2,Eswatini,SWZ,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,..
Land area (sq. km),AG.LND.TOTL.K2,Ethiopia,ETH,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,..
Land area (sq. km),AG.LND.TOTL.K2,Faroe Islands,FRO,1396.000061,1396.000061,1396.000061,1396.000061,1396.000061,1396.000061,1396.000061,1396.000061,1396.000061,1396.000061,1396.000061,..
Land area (sq. km),AG.LND.TOTL.K2,Fiji,FJI,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,..
Land area (sq. km),AG.LND.TOTL.K2,Finland,FIN,304590,304590,303900,303890,303890,303890,303890,303910,303910,303910,303910,..
Land area (sq. km),AG.LND.TOTL.K2,France,FRA,547566.0156,547566.9922,547556.9922,547556.9922,547556.9922,547556.9922,547556.9922,547556.9922,547556.9922,547556.9922,547556.9922,..
Land area (sq. km),AG.LND.TOTL.K2,French Polynesia,PYF,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,..
Land area (sq. km),AG.LND.TOTL.K2,Gabon,GAB,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,..
Land area (sq. km),AG.LND.TOTL.K2,"Gambia, The",GMB,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,..
Land area (sq. km),AG.LND.TOTL.K2,Georgia,GEO,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,..
Land area (sq. km),AG.LND.TOTL.K2,Germany,DEU,349130,348950,348570,348560,348540,348880,348900,348858.9844,349360,349360,349360,..
Land area (sq. km),AG.LND.TOTL.K2,Ghana,GHA,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,..
Land area (sq. km),AG.LND.TOTL.K2,Gibraltar,GIB,10,10,10,10,10,10,10,10,10,10,10,..
Land area (sq. km),AG.LND.TOTL.K2,Greece,GRC,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,..
Land area (sq. km),AG.LND.TOTL.K2,Greenland,GRL,341700,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,..
Land area (sq. km),AG.LND.TOTL.K2,Grenada,GRD,340,340,340,340,340,340,340,340,340,340,340,..
Land area (sq. km),AG.LND.TOTL.K2,Guam,GUM,540,540,540,540,540,540,540,540,540,540,540,..
Land area (sq. km),AG.LND.TOTL.K2,Guatemala,GTM,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,..
Land area (sq. km),AG.LND.TOTL.K2,Guinea,GIN,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,..
Land area (sq. km),AG.LND.TOTL.K2,Guinea-Bissau,GNB,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,..
Land area (sq. km),AG.LND.TOTL.K2,Guyana,GUY,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,..
Land area (sq. km),AG.LND.TOTL.K2,Haiti,HTI,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,..
Land area (sq. km),AG.LND.TOTL.K2,Honduras,HND,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,..
Land area (sq. km),AG.LND.TOTL.K2,"Hong Kong SAR, China",HKG,990,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,..
Land area (sq. km),AG.LND.TOTL.K2,Hungary,HUN,89870,89620,90530,90530,90530,90530,90530,90530,90530,90530,90530,..
Land area (sq. km),AG.LND.TOTL.K2,Iceland,ISL,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,..
Land area (sq. km),AG.LND.TOTL.K2,India,IND,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,..
Land area (sq. km),AG.LND.TOTL.K2,Indonesia,IDN,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,..
Land area (sq. km),AG.LND.TOTL.K2,"Iran, Islamic Rep.",IRN,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,..
Land area (sq. km),AG.LND.TOTL.K2,Iraq,IRQ,437370,437370,434320,434320,434320,434128.0078,434128.0078,434128.0078,434128.0078,434128.0078,434128.0078,..
Land area (sq. km),AG.LND.TOTL.K2,Ireland,IRL,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,..
Land area (sq. km),AG.LND.TOTL.K2,Isle of Man,IMN,570,570,570,570,570,570,570,570,570,570,570,..
Land area (sq. km),AG.LND.TOTL.K2,Israel,ISR,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,..
Land area (sq. km),AG.LND.TOTL.K2,Italy,ITA,294110,294110,294140,294140,294140,294140,294140,294140,294140,294140,294140,..
Land area (sq. km),AG.LND.TOTL.K2,Jamaica,JAM,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,..
Land area (sq. km),AG.LND.TOTL.K2,Japan,JPN,364600,364500,364550,364555,364560,364560,364560,364560,364560,364560,364560,..
Land area (sq. km),AG.LND.TOTL.K2,Jordan,JOR,88240,88240,88780,88780,88780,88780,88780,88780,88780,88780,88780,..
Land area (sq. km),AG.LND.TOTL.K2,Kazakhstan,KAZ,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,..
Land area (sq. km),AG.LND.TOTL.K2,Kenya,KEN,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,..
Land area (sq. km),AG.LND.TOTL.K2,Kiribati,KIR,810,810,810,810,810,810,810,810,810,810,810,..
Land area (sq. km),AG.LND.TOTL.K2,"Korea, Dem. People’s Rep.",PRK,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,..
Land area (sq. km),AG.LND.TOTL.K2,"Korea, Rep.",KOR,96460,96460,97200,97190,97310,97425.99609,97430,97445,97489.00391,97489.00391,97489.00391,..
Land area (sq. km),AG.LND.TOTL.K2,Kosovo,XKX,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,..,..
Land area (sq. km),AG.LND.TOTL.K2,Kuwait,KWT,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,..
Land area (sq. km),AG.LND.TOTL.K2,Kyrgyz Republic,KGZ,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,..
Land area (sq. km),AG.LND.TOTL.K2,Lao PDR,LAO,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,..
Land area (sq. km),AG.LND.TOTL.K2,Latvia,LVA,62196,62196.00098,62240,62200,62180,62190,62180,62180,62180,62180,62180,..
Land area (sq. km),AG.LND.TOTL.K2,Lebanon,LBN,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,..
Land area (sq. km),AG.LND.TOTL.K2,Lesotho,LSO,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,..
Land area (sq. km),AG.LND.TOTL.K2,Liberia,LBR,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,..
Land area (sq. km),AG.LND.TOTL.K2,Libya,LBY,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,..
Land area (sq. km),AG.LND.TOTL.K2,Liechtenstein,LIE,160,160,160,160,160,160,160,160,160,160,160,..
Land area (sq. km),AG.LND.TOTL.K2,Lithuania,LTU,62680,62680,62675,62673.99902,62673.99902,62675,62650,62650,62642.00195,62642.00195,62642.00195,..
Land area (sq. km),AG.LND.TOTL.K2,Luxembourg,LUX,..,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,..
Land area (sq. km),AG.LND.TOTL.K2,"Macao SAR, China",MAC,20,20,29.70000029,29.9000001,29.9000001,30.29999971,30.29999971,30.39999962,30.39999962,30.39999962,30.39999962,..
Land area (sq. km),AG.LND.TOTL.K2,Madagascar,MDG,581540,581540,581540,581795,581795,581800,581800,581800,581800,581800,581800,..
Land area (sq. km),AG.LND.TOTL.K2,Malawi,MWI,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,..
Land area (sq. km),AG.LND.TOTL.K2,Malaysia,MYS,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,..
Land area (sq. km),AG.LND.TOTL.K2,Maldives,MDV,300,300,300,300,300,300,300,300,300,300,300,..
Land area (sq. km),AG.LND.TOTL.K2,Mali,MLI,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,..
Land area (sq. km),AG.LND.TOTL.K2,Malta,MLT,320,320,320,320,320,320,320,320,320,320,320,..
Land area (sq. km),AG.LND.TOTL.K2,Marshall Islands,MHL,..,180,180,180,180,180,180,180,180,180,180,..
Land area (sq. km),AG.LND.TOTL.K2,Mauritania,MRT,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,..
Land area (sq. km),AG.LND.TOTL.K2,Mauritius,MUS,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,..
Land area (sq. km),AG.LND.TOTL.K2,Mexico,MEX,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,..
Land area (sq. km),AG.LND.TOTL.K2,"Micronesia, Fed. Sts.",FSM,..,700,700,700,700,700,700,700,700,700,700,..
Land area (sq. km),AG.LND.TOTL.K2,Moldova,MDA,32870,32880,32850,32850,32860,32880,32870,32880,32890,32890,32890,..
Land area (sq. km),AG.LND.TOTL.K2,Monaco,MCO,2,2,2,2,2,2,2,2,2,2,..,..
Land area (sq. km),AG.LND.TOTL.K2,Mongolia,MNG,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,..
Land area (sq. km),AG.LND.TOTL.K2,Montenegro,MNE,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,..
Land area (sq. km),AG.LND.TOTL.K2,Morocco,MAR,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,..
Land area (sq. km),AG.LND.TOTL.K2,Mozambique,MOZ,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,..
Land area (sq. km),AG.LND.TOTL.K2,Myanmar,MMR,653540,653540,653260,653290,653150,653080,653080,653080,653080,653080,653080,..
Land area (sq. km),AG.LND.TOTL.K2,Namibia,NAM,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,..
Land area (sq. km),AG.LND.TOTL.K2,Nauru,NRU,20,20,20,20,20,20,20,20,20,20,20,..
Land area (sq. km),AG.LND.TOTL.K2,Nepal,NPL,143000,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,..
Land area (sq. km),AG.LND.TOTL.K2,Netherlands,NLD,33760,33760,33730,33720,33720,33690,33690,33690,33690,33690,33690,..
Land area (sq. km),AG.LND.TOTL.K2,New Caledonia,NCL,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,..
Land area (sq. km),AG.LND.TOTL.K2,New Zealand,NZL,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,..
Land area (sq. km),AG.LND.TOTL.K2,Nicaragua,NIC,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,..
Land area (sq. km),AG.LND.TOTL.K2,Niger,NER,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,..
Land area (sq. km),AG.LND.TOTL.K2,Nigeria,NGA,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,..
Land area (sq. km),AG.LND.TOTL.K2,North Macedonia,MKD,25430,25430,25220,25220,25220,25220,25220,25220,25220,25220,25220,..
Land area (sq. km),AG.LND.TOTL.K2,Northern Mariana Islands,MNP,..,460,460,460,460,460,460,460,460,460,460,..
Land area (sq. km),AG.LND.TOTL.K2,Norway,NOR,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365123.0078,365123.0078,365123.0078,365123.0078,365123.0078,365123.0078,..
Land area (sq. km),AG.LND.TOTL.K2,Oman,OMN,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,..
Land area (sq. km),AG.LND.TOTL.K2,Pakistan,PAK,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,..
Land area (sq. km),AG.LND.TOTL.K2,Palau,PLW,..,460,460,460,460,460,460,460,460,460,460,..
Land area (sq. km),AG.LND.TOTL.K2,Panama,PAN,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,..
Land area (sq. km),AG.LND.TOTL.K2,Papua New Guinea,PNG,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,..
Land area (sq. km),AG.LND.TOTL.K2,Paraguay,PRY,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,..
Land area (sq. km),AG.LND.TOTL.K2,Peru,PER,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,..
Land area (sq. km),AG.LND.TOTL.K2,Philippines,PHL,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,..
Land area (sq. km),AG.LND.TOTL.K2,Poland,POL,306290,306290,306280,306230,306220,306210,306190,306190,306190,306190,306190,..
